MATH WORDS	Meaning Clarifications (word cullers)	Publisher-Identified vocabulary?       (SLF)	Part of speech (SLF)	Definition (Layla)	Source of definition (Layla) [NOTE: Frequently we used the definition for kids or for ELs from MW online]	Word form used to generate the stems (Xing)	Stem or stems used to generate the computer version of the sub-bank (Xing)	POSSIBLE PARTS OF SPEECH from WordNet (Xing)	"POLYSEMY COUNT from WordNet, according to different part of speech (Xing)"	MATH TEXTS GRADE LEVEL(S) (Xing)	MATH DISPERSION # math sources containing this word (Xing)	CONCRETENESS VS. ABSTRACTION from WordNet (Xing)	WORD FREQUENCY from Zeno corpus (Kelly)	MORPHOLOGICAL FAMILY FREQUENCY from Zeno corpus (Xing)	In Coxhead List?  2=yes--head word; 1=variant; 0=no (Katherine)	"When this word is a variant of a Coxhead head word, what's the head word? (Katherine)"	SPANISH-ENGLISH WORD RELATIONSHIP  [borrowed; cognate; false cognate; not cognate]   (Alyssa)	The Spanish cognate word (Alyssa)	Is this a math content word?  [0=no; 1=yes] (Zoe)	"Subject and grade for each occurrence of the word (either a math content word or a word in AWL) in the CA Common Core math standards  (excludes discussions, overviews, & maybe calculus standards?).  8 algebra 1 standards appear at the end of the lists.                                             [grade.standard; 8A (8th grade algebra 1).standard; or HS (high school).standard]        (Zoe)"	Subject and grade for each occurrence of the word (either a math content word or a word in AWL) in the CA Common Core ELA standards (Zoe)	"When the word (either a math content word or a word in AWL) is in a 4th grade standard, list subject and specific CA Common Core standard designation (Zoe)"	"When the word is not verbatim in the CA CC standards but IS in a 4th grade content domain in the standards, list subject and specific standard designation"	"When the word (either a math content word or a word in AWL) is in a 5th grade standard, list subject and specific CA Common Core standard designation (Zoe)"	"When the word is not verbatim in the CA CC standards but IS in a 5th grade content domain in the standards, list subject and specific standard designation "		COMBINED SCIENCE & MATH DRAFT GRADE LEVEL(S) (Xing)	COMBINED SCIENCE & MATH DRAFT SUBJECT DISPERSION       A list of all the subject sub-banks with this word (Xing)	COMBINED SCIENCE & MATH DRAFT SUBJECT DISPERSION Number of subject sub-banks that the word appears in (Xing)	COMBINED SCIENCE & MATH DRAFT SOURCE DISPERSION Total number of sources the word appears in (Xing)
percent		yes	noun	a ratio in which the first term is compared to 100	5th math psf	percent	percent	noun	1	5	2	abstract	145	145	2		cognate	por ciento	1	"6.R ,7.R ,HS.F-IF ,HS.F-LE "	NOT PRESENT						4 & 5	math & science	2	6
percentage		no	noun	a part of a whole expressed in hundredths	MW online	percentage	percentag	noun	2	5	1	abstract	20	22	1	percent	cognate	porcentaje	1	NOT PRESENT	NOT PRESENT						5	math & science	2	3
percentile		no	noun	one of 100 equal parts that a group of people can be divided into in order to rank them	MW online	percentile	percentil	noun	1	5	1	abstract	0.2232	0.2232	0		cognate	percentil	1	NOT PRESENT	NOT PRESENT						5	math	1	1
percents		yes	noun	a ratio in which the first term is compared to 100 (plural)	5th math psf	percent	percent	noun	1	5	1	abstract	0	n/a	0		cognate	porcentajes	1	NOT PRESENT	NOT PRESENT						5	math	1	1
perform	demonstrate a skill or talent	no	verb	to do an action or activity that usually requires training or skill	MW online	perform	perform	verb	4	4 & 5	2	n/a	41	130	0		notcognate		0								4 & 5	math	1	2
performances		no	noun	an activity (such as singing a song or acting in a play) that a person or group does to entertain an audience (plural)	MW online	performance	perform	noun	5	5	1	abstract	1	130	0		notcognate		0								5	math	1	1
performed		no	verb	to do an action or activity that usually requires training or skill	MW online	perform	perform	verb	4	5	1	n/a	32	130	0		notcognate		0								5	math	1	1
performing		no	verb	to do an action or activity that usually requires training or skill	MW online	performing	perform	noun	1	5	1	abstract	12	130	0		notcognate		0								5	math	1	1
perimeter		yes	noun	the distance around the outside of any polygon	5th math psf	perimeter	perimet	noun	3	4 & 5	4	abstract	0.9238	0.9918	0		cognate	perímetro	1	"3.MD ,4.MD ,7.EE ,HS.G-GMD "	NOT PRESENT	Math:4.MD Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit (3)					4 & 5	math	1	4
perimeters		yes	noun	the distance around the outside of any polygon (plural)	5th math psf	perimeter	perimet	noun	3	4	1	abstract	0.068	0.9918	0		cognate	perímetros	1	"3.MD ,HS.G-GE "	NOT PRESENT						4	math	1	1
period	a group of 3 digits in a number separated off by a comma or commas	yes	noun	a group of 3 digits in a number.  Periods are separated by a comma and start from the right of the number.	5th math psf	period	period	noun	8	4 & 5	4	abstract	171	229.0925	2		cognate	período	1	HS.F-IF 	"Grade 7 Reading Standards for Literature,Grade 7 Writing Standards,Grades 11-12 Reading Standards for Literature,Grades 11-12 Writing Standards"						4 & 5	math & science	2	5
periodic	as in periodic table	no	adjective	"consisting of or containing a series of repeated stages, processes, or digits"	MW online	periodic	period	adjective	3	5	1	n/a	12	229.0925	1	period	cognate	(tabla) periódica	1	HS.F-TF 	NOT PRESENT						5	math & science	2	2
periods	groups of 3 digits in a number separated off by a comma or commas	yes	noun	a group of 3 digits in a number.  Periods are separated by a comma and start from the right of the number.  (plural)	5th math psf	period	period	noun	8	4 & 5	3	abstract	39	229.0925	1	period	cognate	período	1	NOT PRESENT	NOT PRESENT						4 & 5	math & science	2	5
perpendicular		yes	adjective	being at right angles to a given line or plane	MW online	perpendicular	perpendicular	noun & adjective	4 & 3	4 & 5	4	abstract	2	2.1091			cognate	perpendicular	1	"4.G ,5.G ,HS.G-CO ,HS.G-SRT ,HS.G-C ,HS.G-GE ,8A.G "	NOT PRESENT	"Math:4.G Draw and identify lines and angles, and classify shapes by properties of their lines and angles (1),4.G Draw and identify lines and angles, and classify shapes by properties of their lines and angles (2)"		Math: 5.G - Graph points on the coordinate plane to solve real-world and mathematical problems (1)			4 & 5	math	1	4
perspectives		no	noun	a way of thinking about and understanding something (such as a particular issue or life in general)  (plural)	MW online	perspective	perspect	noun	2	4 & 5	2	abstract	0.5642	8.5642	1	perspective	cognate	perspectivos	0	NOT PRESENT	"Grade 6 Speaking and Listening Standards,Grades 9-10 Speaking and Listening,Grades 11-12 Speaking and Listening Standards"						4 & 5	math	1	2
petunia		no	noun	a plant that has colorful flowers which are shaped like funnels	MW online	petunia	petunia	noun	2	4	1	concrete	0.6426	1.0179	0		cognate	petunia	0								4	math	1	1
petunias		no	noun	a plant that has colorful flowers which are shaped like funnels (plural)	MW online	petunia	petunia	noun	2	4	1	concrete	0.3753	1.0179	0		cognate	petunias	0								4	math	1	1
photographers		no	noun	a person who takes photographs especially as a job  (plural)	MW online	photographer	photograph	noun	1	5	1	concrete	2	58.7293	0		cognate	fotógrafos	0								5	math	1	1
photographs		no	noun	a picture made by a camera (plural)	MW online	photograph	photograph	noun & verb	1 & 2	5	1	concrete	16	58.7293	0		cognate	fotografías	0								5	math	1	1
photography		no	noun	"the art, process, or job of taking pictures with a camera"	MW online	photography	photographi	noun	3	5	1	abstract	5	58.7293	0		cognate	fotografía	0								5	math	1	1
photos		no	noun	a picture made by a camera (plural)	MW online	photo	photo	noun	1	4	1	concrete	3	11.8249	0		cognate	fotos	0								4	math	1	1
photosynthesis		no	noun	the process by which a green plant turns water and carbon dioxide into food when the plant is exposed to light	MW online	photosynthesis	photosynthesi	noun	1	5	1	concrete	7	7	0		cognate	fotosíntesis	0								4 & 5	math & science	2	4
pictograph		yes	noun	a graph using pictures or symbols to show data	4th math psf	pictograph	pictograph	noun	1	4 & 5	2	abstract	0.2769	0.3095	0		cognate	pictografía	0								4 & 5	math	1	2
picture	verb--to visualize	no	verb	to form a mental image of : imagine	MW online	picture	pictur	noun & verb	9 & 2	4	1	concrete	242	381.9301	0		notcognate		0								4	math	1	1
pint	capacity measurement	yes	noun	a customary unit used to measure liquid capacity (2 pints = 1 quart)	4th math hm	pint	pint	noun	3	4 & 5	3	abstract	2	3.0813	0		cognate	pinta	0								4 & 5	math	1	3
pints	capacity measurement	yes	noun	a customary unit used to measure liquid capacity (2 pints = 1 quart)  (plural)	4th math hm	pint	pint	noun	3	4 & 5	2	abstract	1	3.0813	0		cognate	pintas	0								4 & 5	math	1	2
place	"""reserved spot for something, as in place value"""	yes	noun	the position of a figure in relation to others of a row or series; especially the position of a digit within a numeral	MW online	place	place	noun & verb	16 & 16	5	2	concrete	728	1099.474	0		notcognate		1	" K.NBT ,1.NBT ,2.NBT ,3.NBT ,4.NBT ,5.NBT ,7.EE "	"Kindergarten Reading Standards for Informational Text,Grade 7 Reading Standards for Literature,Grade 7 Writing Standards,Grade 7 Language Standards,Grades 9-10 Reading Standards for Literature"	"Math: 4.NBT Generalize place value understanding for multi-digit whole numbers (1), 4.NBT Generalize place value understanding for multi-digit whole numbers (2),Generalize place value understanding for multi-digit whole numbers (3), 4.NBT Generalize place value understanding for multi-digit whole numbers (5), 4.NBT Use place value understanding and properties of operations to perform multi-digit arithmetic (6)"		"Math: 5.NBT - Understand the place value system (1),5.NBT - Understand the place value system (3),5.NBT - Understand the place value system (4),5.NBT - Perform operations with multi-digit whole numbers and with decimals to hundredths (6),5.NBT - Perform operations with multi-digit whole numbers and with decimals to hundredths (7)"			5	math	1	2
placeholder		no	noun	a symbol in a mathematical or logical expression that may be replaced by the name of any element of a set	MW online	placeholder	placehold	noun	2	5	1	concrete	0.0023	0.0113	0		notcognate		1	NOT PRESENT	NOT PRESENT						5	math	1	1
placing	setting down; putting into place	no	verb	to put in or as if in a particular place or position: set	MW online	place	place	noun & verb	16 & 16	4	1	concrete	14	1099.474	0		notcognate		0								4	math	1	1
plane	noun: a 2 dimensional space	yes	noun	a geometric figure that has two dimensions	4th math hm	plane	plane	noun & verb & adjective	5 & 3 & 1	4 & 5	4	concrete	60	919.0743	0		cognate	plano	1	"K.G ,3.MD ,5.OA ,5.G ,6.R ,6.NS ,6.G ,7.R ,7.G ,8.EE ,HS.N-CN ,HS.N-VM ,HS.A-REI ,HS.F-TF ,HS.G-CO ,HS.G-GE ,8A.A "	NOT PRESENT			"Math: 5.OA - Analyze patterns and relationships (3),5.G - Graph points on the coordinate plane to solve real-world and mathematical problems (1),5.G - Graph points on the coordinate plane to solve real-world and mathematical problems (2)"			4 & 5	math	1	4
platform	a framework with a flat or level surface at the top	no	noun	a usually raised structure that has a flat surface where people or machines do work	MW online	platform	platform	noun	5	4	2	concrete	22	24	0		cognate	plataforma	0								4	math & science	2	3
plot	noun--picture of coordinates located on a grid	yes	noun	a graphic representation (as a chart)	MW online	plot	plot	noun & verb	4 & 3	5	1	abstract	19	28.1622	0		notcognate		1	"2.MD, 3.MD, 4.MD, 5.MD, 7.SP, S-ID"							4 & 5	math & science	2	4
plot	to put an ordered pair on a grid	yes	verb	"To locate and mark points in a coordinate grid given the points' coordinates. To plot (-3, 2) in a coordinate grid, go 3 units to the left from the origin and up 2. "	4th math hm	plot	plot	noun & verb	4 & 3	4 & 5	4	abstract	19	28.1622	0		notcognate		1	" 6.RP, 6.SP"	NOT PRESENT	Math: 4.MD - Represent and interpret data (4)		Math: 5.MD - Represent and interpret data (2)			4 & 5	math & science	2	7
plotted	to put an ordered pair in place on a grid	yes	verb	"To locate and mark points in a coordinate grid given the points' coordinates. To plot (-3, 2) in a coordinate grid, go 3 units to the left from the origin and up 2. "	4th math hm	plot	plot	adjective	1	4 & 5	3	n/a	3	28.1622	0		notcognate		1	"HS.A-REI ,8A.A "	NOT PRESENT						4 & 5	math & science	2	4
point	a particular spot in space	yes	noun	"an exact location in space, represented by a dot"	4th math hm	point	point	noun & verb	24 & 13	4 & 5	3	abstract	257	450.1177	0		cognate	punto	1	"3.NF ,5.NBT ,5.G ,6.NS ,7.R ,HS.N-VM ,HS.G-CO ,HS.G-C ,HS.G-GE ,8A.G "	"Grade 3 Reading Standards for Literature,Grade 3 Reading Standards for Informational Text,Grade 3 Writing Standards,Grade 4 Reading Standards for Literature,Grade 4 Writing Standards,Grade 5 Reading Standards for Literature,Grade 5 Reading Standards for Informational Text,Grade 5 Writing Standards,Grade 6 Reading Standards for Literature,Grade 6 Reading Standards for Informational Texts,Grade 7 Reading Standards for Informational Texts,Grade 7 Writing Standards,Grade 8 Reading Standards for Informational Text,Grade 8 Writing Standards,Grade 8 Speaking and Listening Standards,Grades 9-10 Reading Standards for Literature,Grades 9-10 Reading Standards for Informational Text,Grades 9-10 Speaking and Listening,Grades 11-12 Reading Standards for Literature,Grades 11-12 Reading Standards for Informational Text,Grades 11-12 Speaking and Listening Standards,Grades 6-8 Reading Standards for Literacy in History/Social Studies,Grades 9-10 Reading Standards for Literacy in History/Social Studies"	" ELA:Grade 4 Reading Standards for Literature - Craft and Structure (6),Grade 4 Writing Standards - Text Types and Purposes (1)"		"ELA: Grade 5 Reading Standards for Literature - Craft and Structure (6),Grade 5 Reading Standards for Informational Texts - Craft and Structure (6),Grade 5 Writing Standards - Text Types and Purposes (1),; Math: 5.NBT - Understand the place value system (2),5.G - Graph points on the coordinate plane to solve real-world and mathematical problems (1)"			4 & 5	math	1	3
points	particular spots in space	yes	noun	"an exact location in space, represented by a dot (plural)"	4th math hm	point	point	noun & verb	24 & 13	4 & 5	2	abstract	87	450.1177	0		cognate	puntos	1	"1.MD ,2.MD ,4.MD ,4.G ,5.G ,6.NS ,6.G ,7.R ,8.EE ,8.G ,8.S ,HS.A-REI ,HS.F-TF ,HS.G-CO ,HS.G-GE ,HS.S-ID ,8A.A ,8A.F ,8A.G ,8A.S "	"Kindergarten Reading Standards for Informational Text,Grade 1 Reading Standards for Literature,Grade 1 Reading Standards for Informational Text,Grade 2 Reading Standards for Literature,Grade 2 Reading Standards for Informational Text,Grade 2 Writing Standards,Grade 3 Reading Standards for Informational Text,Grade 3 Speaking and Listening Standards,Grade 4 Reading Standards for Informational Text,Grade 4 Writing Standards,Grade 4 Speaking and Listening Standards,Grade 5 Reading Standards for Informational Text,Grade 5 Writing Standards,Grade 5 Speaking and Listening Standards,Grade 7 Reading Standards for Literature,Grade 7 Speaking and Listening Standards,Grade 8 Reading Standards for Literature,Grade 8 Speaking and Listening Standards,Grades 9-10 Reading Standards for Informational Text,Grades 9-10 Speaking and Listening,Grades 11-12 Reading Standards for Informational Text,Grades 11-12 Writing Standards,Grades 11-12 Speaking and Listening Standards,Grades 9-10 Reading Standards for Literacy in History/Social Studies,Grades 11-12 Reading Standards for Literacy in History/Social Studies"	"Math: 4.MD Geometric measurement: understand concepts of angle and measure angles (5),4.G Draw and identify lines and angles, and classify shapes by properties of their lines and angles (1); ELA:Grade 4 Reading Standards for Informational Texts - Integration of Knowledge and Ideas (8),Grade 4 Writing Standards - Research to Build and Present Knowledge (9)"		"ELA: Grade 5 Reading Standards for Informational Texts - Integration of Knowledge and Ideas (8),Grade 5 Writing Standards - Research to Build and Present Knowledge (9),Grade 5 Speaking and Listening Standards - Comprehension and Collaboration (3),; Math: 5.G - Graph points on the coordinate plane to solve real-world and mathematical problems (2)"			4 & 5	math	1	2
polygon		yes	noun	a closed plane figure made up of line segments	5th math psf	polygon	polygon	noun	1	4 & 5	4	abstract	0.0727	0.359	0		cognate	polígono	1	HS.G-CO 	NOT PRESENT						4 & 5	math	1	4
polygons		yes	noun	a closed plane figure made up of line segments  (plural)	5th math psf	polygon	polygon	noun	1	4	1	abstract	0.27	0.359	0		cognate	polígonos	1	"3.MD ,6.G ,7.G ,HS.G-GE "	NOT PRESENT						4	math	1	1
population		no	noun	a body of persons or individuals having a quality or characteristic in common	MW online	population	popul	noun	5	4 & 5	2	abstract	136	161.1408	0		notcognate		1	"7.EE ,7.S ,8.EE ,HS.S-ID ,HS.S-IC "	NOT PRESENT						4 & 5	math & science	2	4
position	noun--placement	no	noun	the place where someone or something is in relation to other people or things	MW online	position	posit	noun & verb	16 & 2	4 & 5	2	concrete	133	235.4383	0		cognate	posición	1	6.NS 	"Grade 5 Speaking and Listening Standards,Grade 6 Language Standards,Grade 7 Reading Standards for Informational Texts,Grade 7 Language Standards,Grade 8 Language Standards,Grades 9-10 Language Standards,Grades 11-12 Speaking and Listening Standards"			ELA: Grade 5 Speaking and Listening Standards-  Presentation of Knowledge and Ideas (4)			4 & 5	math	1	2
positive	as in positive numbers	yes	adjective	describing a number that is greater than zero	4th math hm	positive	posit	noun & adjective	1 & 11	4 & 5	4	concrete	53	235.4383	0		cognate	positivo	1	"1.NBT ,6.NS ,7.NS ,7.EE ,8.EE ,8.S ,HS.A-AR ,HS.F-IF ,8A.F ,8A.S "	NOT PRESENT						4 & 5	math & science	2	5
possibilities		no	noun	"the chance that something might exist, happen, or be true: the state or fact of being  (plural)"	MW online	possibility	possibl	noun	4	5	1	abstract	12	310.0163	0		cognate	posibilidades	1	"8.EE ,8A.A "	NOT PRESENT						5	math	1	1
possible		no	adjective	able to be done	MW online	possible	possibl	noun & adjective	2 & 3	4	1	abstract	239	310.0163	0		cognate	posible	1	"7.G ,7.S ,8.S ,HS.S-ID ,HS.S-MD ,8A.S "	"Grades 11-12 Writing Standards,Grades 11-12 Speaking and Listening Standards,Grades 11-12 Reading Standards for Literacy in Science and Technical Subjects,Grades 11-12 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects"						4	math	1	1
pottery		no	noun	"objects (such as plates, bowls, etc.) that are made out of clay and usually by hand then baked at high temperatures so that they can become hard"	MW online	pottery	potteri	noun	3	4 & 5	2	concrete	10	14.1176	0		notcognate		0								4 & 5	math	1	2
pound	unit of weight	yes	noun	a customary unit used to measure weight (1 pound= 16 ounces)	4th math hm	pound	pound	noun & verb	12 & 8	4 & 5	3	abstract	23	90.0652	0		notcognate		1	"4.NF ,5.NF ,HS.F-BF "	NOT PRESENT	Math:Build fractions from unit fractions by applying and extending previous understanding of operations on whole numbers (4)		Math: 5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (3)			4 & 5	math	1	3
pounds	units of weight	yes	noun	a customary unit used to measure weight (1 pound= 16 ounces)  (plural)	4th math hm	pound	pound	noun & verb	12 & 8	4 & 5	3	abstract	48	90.0652	0		notcognate		1	"4.NF ,5.NF ,HS.F-BF "	NOT PRESENT	Math:Build fractions from unit fractions by applying and extending previous understanding of operations on whole numbers (4)		Math: 5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (3)			4 & 5	math	1	3
power	raising a number to a power--an exponent	yes	noun	a product obtained by multiplying a given factor repeatedly	5th math hm	power	power	noun & verb	9 & 1	5	2	abstract	303	440.3723	0		notcognate		1	"5.NBT ,7.EE ,8.EE "	Grades 11-12 Reading Standards for Informational Text			Math: 5.NBT - Understand the place value system (2)			5	math	1	2
