MATH WORDS		SOURCE #1--A MATH TEXT								SOURCE #2--A MATH TEXT								SOURCE #3--A MATH TEXT								SOURCE #4--A MATH TEXT								SOURCE #5--NOT A MATH TEXT								SOURCE #6--NOT A MATH TEXT								SOURCE #7--NOT A MATH TEXT								SOURCE #8--NOT A MATH TEXT							
	id	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE
survey	927	382	a poll with a questionnaire	x			4th math psf	math	4	512	noun--means to collect data	x			4th math hm	math	4	b1	a way to collect data from a questionnaire				5th math hm	math	5	476	noun--use of a questionnaire	x			5th math psf	math	5																																
surveyed	928	b1	took or gave a survey				5th math hm	math	5	382					4th math psf	math	4																																																
surveys	929	382	noun plural				4th math psf	math	4																																																								
suspension	930	269	adjective--suspension bridge				5th math psf	math	5	381	adjective--suspension bridge				4th math psf	math	4																	502		x			5th science mmh	science	5																								
symbol	931	83					5th math psf	math	5	25					4th math hm	math	4	469					4th math psf	math	4																																								
symbolic	932						4th math hm	math	4	126					4th math psf	math	4																	165					5th science mmh	science	5																								
symbolize	933	83					5th math psf	math	5																																																								
symbols	934	248					4th math hm	math	4	44					4th math psf	math	4	83					5th math psf	math	5									486					5th science mmh	science	5																								
symmetric	935	474		x			4th math psf	math	4	472		x			5th math psf	math	5																																																
symmetry	936	472	noun--a property that says things can have to inversely identical parts	x			5th math psf	math	5	579		x			4th math hm	math	4	436					4th math psf	math	4																																								
system	937	310					4th math hm	math	4																									87					5th science delta	science	5																								
systematically	938	382					4th math psf	math	4																																																								
table	939	382	a chart				4th math psf	math	4	301	a chart				4th math hm	math	4																	16					4th science mmh	science	4																								
tables	940	7	charts--noun plural				4th math hm	math	4	44	noun plural--charts				4th math psf	math	4																	149	arrangement of numbers in columns				4th science delta	science	4																								
tablespoon	941	476		x			5th math psf	math	5	474		x			4th math psf	math	4																																																
tablespoons	942	469					4th math psf	math	4	471					5th math psf	math	5																																																
tallies	943	382	noun plural				4th math psf	math	4																																																								
tally	944	512	noun--the count of something				4th math hm	math	4	382	as in tally chart				4th math psf	math	4	354	a count of something				5th math hm	math	5																																								
tax	945	26	noun--sales tax				5th math psf	math	5	290	noun				5th math hm	math	5	48	noun				4th math psf	math	4																																								
taxes	946	274	noun plural				5th math hm	math	5																																																								
teaspoon	947	476		x			5th math psf	math	5	474		x			4th math psf	math	4																																																
teaspoons	948	476					5th math psf	math	5																																																								
technology	949	554					5th math hm	math	5	51					5th math psf	math	5																	278					4th science mmh	science	4	38					5th science delta	science	5	32					5th science mmh	science	5								
telescopes	950	596					5th math hm	math	5																									252					5th science delta	science	5	484					5th science mmh	science	5																
tenth	951	476		x			5th math psf	math	5	474		x			4th math psf	math	4																																																
tenths	952	415		x			4th math hm	math	4	270					4th math psf	math	4	10					5th math psf	math	5																																								
thermometer	953	347					4th math hm	math	4	539					5th math hm	math	5																	xv					5th science mmh	science	5																								
third	954	363	adjective				4th math psf	math	4																																																								
